record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.701,9.21883,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.1121,0.0,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.307263,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.08626,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,6.30542,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.100381,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.47177,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.094059,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.458312,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.10251,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.632753,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.101411,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.552283,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.982662,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.199728,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.2253,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.089589,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.246841,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,262.728274,4.285406,PASS,PASS,0,b86ded9c-0717-11ee-be4d-acde48001122,FK2322MRCM2AA001F,2023-06-07 17:07:20,2023-06-07 17:10:56,STQ236YM3101,monolith_receiver_ft,10023006
