record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.738,9.319016,PASS,FAIL,230021,b89a5c74-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000C,2023-06-07 18:15:15,2023-06-07 18:16:51,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.8652,0.0,PASS,FAIL,230021,b89a5c74-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000C,2023-06-07 18:15:15,2023-06-07 18:16:51,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.319444,PASS,FAIL,230021,b89a5c74-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000C,2023-06-07 18:15:15,2023-06-07 18:16:51,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.10951,PASS,FAIL,230021,b89a5c74-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000C,2023-06-07 18:15:15,2023-06-07 18:16:51,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.072305,PASS,FAIL,230021,b89a5c74-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000C,2023-06-07 18:15:15,2023-06-07 18:16:51,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.107939,PASS,FAIL,230021,b89a5c74-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000C,2023-06-07 18:15:15,2023-06-07 18:16:51,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.280694,PASS,FAIL,230021,b89a5c74-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000C,2023-06-07 18:15:15,2023-06-07 18:16:51,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.114913,PASS,FAIL,230021,b89a5c74-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000C,2023-06-07 18:15:15,2023-06-07 18:16:51,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.267011,PASS,FAIL,230021,b89a5c74-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000C,2023-06-07 18:15:15,2023-06-07 18:16:51,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.10016,PASS,FAIL,230021,b89a5c74-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000C,2023-06-07 18:15:15,2023-06-07 18:16:51,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,FAIL,4.978407,FAIL,FAIL,230021,b89a5c74-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000C,2023-06-07 18:15:15,2023-06-07 18:16:51,STQ236YM3101,monolith_receiver_ft,10023006
