record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.664,9.297953,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.0308,0.0,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.358202,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.102697,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.552434,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.100742,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.542492,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.110292,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.848641,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.103297,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.58384,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.103666,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.794295,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.218462,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,20,1.249166,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.754965,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.099349,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.094224,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,293.887967,4.285034,PASS,PASS,0,b82fe56a-0717-11ee-be4d-acde48001122,FK2322MRCM2AA000B,2023-06-07 18:56:44,2023-06-07 19:00:03,STQ236YM3101,monolith_receiver_ft,10023006
