record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.734,9.245028,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,29.8565,0.000000,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.307904,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.106723,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.217300,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.109002,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.559274,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.103873,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.094573,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.144348,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.614832,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.101793,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.432349,PASS,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,FAIL,21.090317,FAIL,FAIL,230032,9E84E008-EC37-4FCC-B9A9-2A13EB955976,FK2322MRCM2AA00C0,2023-06-26 15:10:05,2023-06-26 15:12:55,RTQ236YM3401,monolith_receiver_ft,10023006
