record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.718,9.236298,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,31.3196,0.000000,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.258423,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.104155,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.102541,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.104007,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.844613,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.102587,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.872365,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.101210,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.181169,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.104376,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.596094,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.227961,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.203671,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.113181,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.108289,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.110238,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,277.464237,4.336038,PASS,PASS,0,26221281-EE07-4DE5-BE2E-26190F7BCD48,FK2322MRCM2AA017C,2023-06-26 18:38:25,2023-06-26 18:41:32,RTQ236YM3401,monolith_receiver_ft,10023006
