record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.725,9.260961,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,32.2183,0.000000,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.256366,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.098898,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.308209,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.100047,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.968843,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.097030,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.563231,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.104631,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.102194,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.104764,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.533681,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.223916,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.158788,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.100918,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.190006,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.102547,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,228.719015,4.285557,PASS,PASS,0,C5DA5EC3-80F5-4829-B1A4-7C8A9D8B47E6,FK2322MRCM2AA00CA,2023-06-26 20:41:57,2023-06-26 20:45:01,RTQ236YM3401,monolith_receiver_ft,10023006
