record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.722,9.233341,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.4933,0.000000,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.250589,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.092143,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.605469,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.105411,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.364058,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.100856,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.798958,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.095487,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.537094,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.092992,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.432102,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.225592,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.199577,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.098740,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.091277,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.104654,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,255.366972,4.337377,PASS,PASS,0,68F21306-D764-49DF-9B34-8F69227C5ED9,FK2322MRCM2AA00CF,2023-06-26 20:49:38,2023-06-26 20:52:39,RTQ236YM3401,monolith_receiver_ft,10023006
