record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.708,9.263546,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,29.8649,0.000000,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.362082,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.104013,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.323674,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.092970,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.367428,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.110656,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.180223,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.103371,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.901649,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.109825,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.897520,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.222386,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.201232,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.102336,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.104537,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.104717,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,258.027909,4.287838,PASS,PASS,0,0FA989D1-7C8E-459A-868D-A891F4AEFCA7,FK2322MRCM2AA0060,2023-06-27 08:50:21,2023-06-27 08:53:24,RTQ236YM3401,monolith_receiver_ft,10023006
