record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.721,9.316913,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.0241,0.000000,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.305624,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.104908,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,0.937891,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.314541,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.058013,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.103898,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.537311,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.104022,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.960836,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.100917,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.261971,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.231048,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.200589,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.161433,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.094903,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.105926,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,273.094828,4.283443,PASS,PASS,0,BC6B2C23-A40A-4C27-BE26-10330952BD29,FK2322MRCM2AA00BD,2023-06-27 10:56:34,2023-06-27 10:59:40,RTQ236YM3401,monolith_receiver_ft,10023006
