record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7.5,8.5,V,7.812299,0.440821,PASS,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
2,Test_first_temp_1,23,30,C,26.5,0.000000,PASS,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
3,Test_first_temp_2,23,30,C,26.5,0.000000,PASS,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
4,Test_Current,0.1,0.15,A,0.117592,4.244197,PASS,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
5,Test__Count_Power,0.8,1.2,W,0.918662,0.000000,PASS,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
6,Test_second_temp_1,23,30,C,26.5,0.000000,PASS,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
7,Test_second_temp_2,23,30,C,26.5,0.000000,PASS,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,28.9,0.000000,PASS,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,27.7,0.000000,PASS,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,7.877985,0.000000,PASS,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
11,Read_MES_Flat_Current,0.11,0.15,A,0.126305,0.000000,PASS,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
12,Power_difference,0,0.06,W,0.076367,0.000000,FAIL,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
13,Power_percentage_drop,0,0.06,,0.083129,0.000000,FAIL,FAIL,903306,8D23DC40-FEFB-468E-8A56-0DEF17A21B5C,DEDKC12FBSAF0177,2023-06-27 11:14:36,2023-06-27 11:14:59,9999,monolith_solar_panel_left_ft,10023161
