record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7,9,V,7.876850,0.448431,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
2,Test_first_temp_1,23,30,C,26.6,0.000000,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
3,Test_first_temp_2,23,30,C,26.6,0.000000,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
4,Test_Current,0.1,0.15,A,0.116897,4.371302,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
5,Test__Count_Power,0.9,1.2,W,0.920780,0.000000,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
6,Test_second_temp_1,23,30,C,26.7,0.000000,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
7,Test_second_temp_2,23,30,C,26.7,0.000000,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,27.2,0.000000,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,27.2,0.000000,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,7.913622,0.000000,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
11,Read_MES_Flat_Current,0.1,0.15,A,0.122206,0.000000,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
12,Power_difference,0,0.05,W,0.046312,0.000000,PASS,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
13,Power_percentage_drop,0,0.05,,0.050297,0.000000,FAIL,FAIL,903306,E693857D-0C6D-46DE-96E8-4639DFB24C96,DEDKC12FBSAF0496,2023-06-26 18:46:57,2023-06-26 18:47:21,9999,monolith_solar_panel_left_ft,10023161
