record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7,9,V,7.773116,0.439824,PASS,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
2,Test_first_temp_1,23,30,C,26.1,0.000000,PASS,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
3,Test_first_temp_2,23,30,C,26.2,0.000000,PASS,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
4,Test_Current,0.1,0.15,A,0.122909,4.291522,PASS,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
5,Test__Count_Power,0.9,1.2,W,0.955385,0.000000,PASS,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
6,Test_second_temp_1,23,30,C,26.2,0.000000,PASS,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
7,Test_second_temp_2,23,30,C,26.2,0.000000,PASS,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,0,0.000000,FAIL,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,0,0.000000,FAIL,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,0.000000,0.000000,FAIL,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
11,Read_MES_Flat_Current,0.12,0.15,A,0.000000,0.000000,FAIL,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
12,Power_difference,0,0.05,W,0.955385,0.000000,FAIL,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
13,Power_percentage_drop,0,0.05,,1.000000,0.000000,FAIL,FAIL,24,45FDCFE3-14B7-4134-A6EF-04D31367CD2B,DEDKC12FBSAF0158,2023-06-19 14:32:25,2023-06-19 14:32:47,8888,monolith_solar_panel_right_ft,10023161
