record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Test_voltage,7,9,V,7.785449,0.488205,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
2,Test_first_temp_1,23,30,C,26.8,0.000000,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
3,Test_first_temp_2,23,30,C,26.8,0.000000,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
4,Test_Current,0.1,0.15,A,0.120206,4.373314,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
5,Test__Count_Power,0.9,1.2,W,0.935860,0.000000,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
6,Test_second_temp_1,23,30,C,26.8,0.000998,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
7,Test_second_temp_2,23,30,C,26.8,0.000000,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
8,Read_MES_Flat_TEMP1,23,30,C,27.1,0.000000,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
9,Read_MES_Flat_TEMP2,23,30,C,27.1,0.000000,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
10,Read_MES_Flat_Voltage,7.5,9,V,7.859754,0.000000,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
11,Read_MES_Flat_Current,0.1,0.15,A,0.117997,0.000000,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
12,Power_difference,0,0.05,W,0.008433,0.000000,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
13,Power_percentage_drop,0,0.05,,0.009011,0.000000,PASS,PASS,0,1F871343-BF2B-4B09-B343-E6F66D4DACBC,DEDKC12FBSAF0368,2023-06-26 18:03:43,2023-06-26 18:04:03,YYYY,monolith_solar_panel_right_ft,10023161
