record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.017069,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,12.23,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,20.40,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,8.95,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.076646,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.062882,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.073485,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,10,40,C,26.000,3.101760,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.080103,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
