record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.017035,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,11.47,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,19.25,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,8.94,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.084839,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.060366,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.085181,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,10,40,C,29.000,3.093544,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.079365,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
11,Voltage_PP4V2_SYS,3.6,3.8,V,3.675480,0.257879,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
12,Voltage_PP1V8_LDO,1.76,1.85,V,1.805310,0.246419,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
13,Voltage_PP5V0,4.85,5.15,V,4.995770,0.247157,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.051952,0.246879,PASS,PASS,0,FK2316MMBP2AA0167,2023-05-04 10:18:08,2023-05-04 10:22:41,STT234MM01,monolith_main_bft,10023100
