record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.016990,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,11.53,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,19.30,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,8.92,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.079555,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.055363,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.083782,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,10,40,C,29.000,3.081154,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.076756,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
11,Voltage_PP4V2_SYS,3.6,3.8,V,3.679840,0.247802,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
12,Voltage_PP1V8_LDO,1.76,1.85,V,1.808510,0.238874,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
13,Voltage_PP5V0,4.85,5.15,V,4.999560,0.247980,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,11.982091,0.248144,PASS,FAIL,101042,0BA0164A-C14C-4C44-AA78-D1200E2864FB,FK2316MMBP2AA0317,2023-05-06 15:43:56,2023-05-06 15:46:08,STT234MM01,monolith_main_bft,10023100
