record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.009080,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,8.73,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
4,FW_Version,2023.15.105,2023.15.105,,2023.15.105,3.794875,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.679290,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.830293,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,4.299470,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,26.000,2.758156,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.626951,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.684140,0.244641,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.76,1.85,V,1.804280,0.236462,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,4.987370,0.244479,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,11.973176,0.245562,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.603786,0.246780,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,3.290197,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,4.763295,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
17,TEST_Clawlock_Lock,PASS,PASS,,PASS,0.312296,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
18,unlock_status,PASS,PASS,,PASS,4.693079,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
19,TEST_Clawlock_Unlock,PASS,PASS,,PASS,0.319334,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
20,triangle_nfc,PASS,PASS,,PASS,2.556193,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
21,ui_nfc,PASS,PASS,,PASS,2.415109,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
22,speaker,PASS,PASS,,PASS,3.527323,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
23,speaker_timeout,PASS,PASS,,PASS,5.736523,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
24,flip_dot,PASS,PASS,,PASS,6.725835,PASS,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
25,flip_dot_timeout,PASS,PASS,,FAIL,20.068820,FAIL,FAIL,101061,B5964084-A50C-4794-AD6B-9B804B2F6840,FK2324MMBC1AA0011,2023-06-27 13:24:57,2023-06-27 13:27:04,STT234MC01,monolith_main_bft,10023100
