record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.005041,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.25,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,8.76,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
4,FW_Version,2023.15.105,2023.15.105,,2023.15.105,3.890474,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.640192,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.843515,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,4.317232,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,26.000,2.761300,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.586866,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.683380,0.244955,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.76,1.85,V,1.799140,0.234838,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,4.972500,0.235561,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,11.956600,0.244398,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.598528,0.244762,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,2.629543,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,4.745117,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
17,TEST_Clawlock_Lock,PASS,PASS,,PASS,0.319551,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
18,unlock_status,PASS,PASS,,PASS,4.710018,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
19,TEST_Clawlock_Unlock,PASS,PASS,,PASS,0.311179,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
20,triangle_nfc,PASS,PASS,,PASS,2.544288,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
21,ui_nfc,PASS,PASS,,PASS,2.419071,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
22,speaker,PASS,PASS,,PASS,3.272856,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
23,speaker_timeout,PASS,PASS,,PASS,6.009031,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
24,flip_dot,PASS,PASS,,PASS,2.730442,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
25,flip_dot_timeout,PASS,PASS,,PASS,3.472865,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
26,se,PASS,PASS,,PASS,2.860019,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
27,Can_Data_Send,PASS,PASS,,PASS,2.941392,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
28,Can_Data_Recv,PASS,PASS,,PASS,3.027332,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
29,Charge_Can_Data_Recv,PASS,PASS,,PASS,3.529433,PASS,PASS,0,DC69B7E9-CAD9-4E1E-8821-9C9006D776E9,FK2324MMBC1AA0126,2023-06-28 09:46:14,2023-06-28 09:50:07,STT234MC01,monolith_main_bft,10023100
