record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.019076,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,8.93,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
4,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.088670,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,3.072906,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
6,lte_modem_status,PASS,PASS,,PASS,12.061054,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
7,temp_by_mcu_sensor_Vbatt,10,40,C,27.000,3.091104,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
8,Power_Rail_Enable,PASS,PASS,,PASS,4.068426,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
9,Voltage_PP4V2_SYS,3.6,3.8,V,3.689570,0.248804,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
10,Voltage_PP1V8_LDO,1.76,1.85,V,1.805330,0.244865,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
11,Voltage_PP5V0,4.85,5.15,V,4.989570,0.247304,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
12,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.026111,0.248348,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0,11.3,12.3,V,11.762740,0.247379,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
14,nor_flash,PASS,PASS,,PASS,6.081463,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
15,lock_status,PASS,PASS,,PASS,5.065982,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
16,TEST_Clowlock_Lock,PASS,PASS,,PASS,0.330185,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
17,unlock_status,PASS,PASS,,PASS,5.084671,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
18,TEST_Clowlock_Unlock,PASS,PASS,,PASS,0.332692,PASS,FAIL,101081,52019A9D-B370-4F90-9FFA-14F71A35F004,FK2316MMBP2AA0541,2023-05-20 10:41:10,2023-05-20 10:43:41,STT234MM01-2,monolith_main_bft,10023100
