record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.020090,PASS,PASS,0,EDEAFF89-8417-4E44-997E-4238E6BCC382,FK2316MMBP2AA0502,2023-05-20 14:37:10,2023-05-20 14:40:54,STT234MM01-2,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,EDEAFF89-8417-4E44-997E-4238E6BCC382,FK2316MMBP2AA0502,2023-05-20 14:37:10,2023-05-20 14:40:54,STT234MM01-2,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,8.71,PASS,PASS,0,EDEAFF89-8417-4E44-997E-4238E6BCC382,FK2316MMBP2AA0502,2023-05-20 14:37:10,2023-05-20 14:40:54,STT234MM01-2,monolith_main_bft,10023100
4,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.079040,PASS,PASS,0,EDEAFF89-8417-4E44-997E-4238E6BCC382,FK2316MMBP2AA0502,2023-05-20 14:37:10,2023-05-20 14:40:54,STT234MM01-2,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,3.065202,PASS,PASS,0,EDEAFF89-8417-4E44-997E-4238E6BCC382,FK2316MMBP2AA0502,2023-05-20 14:37:10,2023-05-20 14:40:54,STT234MM01-2,monolith_main_bft,10023100
6,lte_modem_status,PASS,PASS,,PASS,12.070664,PASS,PASS,0,EDEAFF89-8417-4E44-997E-4238E6BCC382,FK2316MMBP2AA0502,2023-05-20 14:37:10,2023-05-20 14:40:54,STT234MM01-2,monolith_main_bft,10023100
7,temp_by_mcu_sensor_Vbatt,10,40,C,30.000,3.092015,PASS,PASS,0,EDEAFF89-8417-4E44-997E-4238E6BCC382,FK2316MMBP2AA0502,2023-05-20 14:37:10,2023-05-20 14:40:54,STT234MM01-2,monolith_main_bft,10023100
8,Power_Rail_Enable,PASS,PASS,,PASS,4.065329,PASS,PASS,0,EDEAFF89-8417-4E44-997E-4238E6BCC382,FK2316MMBP2AA0502,2023-05-20 14:37:10,2023-05-20 14:40:54,STT234MM01-2,monolith_main_bft,10023100
9,Voltage_PP4V2_SYS,3.6,3.8,V,3.684680,0.248034,PASS,PASS,0,EDEAFF89-8417-4E44-997E-4238E6BCC382,FK2316MMBP2AA0502,2023-05-20 14:37:10,2023-05-20 14:40:54,STT234MM01-2,monolith_main_bft,10023100
10,Voltage_PP1V8_LDO,1.76,1.85,V,1.801170,0.245443,PASS,PASS,0,EDEAFF89-8417-4E44-997E-4238E6BCC382,FK2316MMBP2AA0502,2023-05-20 14:37:10,2023-05-20 14:40:54,STT234MM01-2,monolith_main_bft,10023100
