record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.005060,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,8.79,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
4,FW_Version,2023.15.105,2023.15.105,,2023.15.105,3.648498,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.669386,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.837130,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,4.307095,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,26.000,2.760512,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.631983,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.681680,0.235590,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.76,1.85,V,1.798790,0.236913,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,4.988020,0.249320,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,11.962710,0.246564,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,11.3,12.3,V,11.613502,0.246143,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,2.669783,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,4.742103,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
17,TEST_Clawlock_Lock,PASS,PASS,,PASS,0.317698,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
18,unlock_status,PASS,PASS,,PASS,4.745410,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
19,TEST_Clawlock_Unlock,PASS,PASS,,PASS,0.315947,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
20,triangle_nfc,PASS,PASS,,PASS,2.555651,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
21,ui_nfc,PASS,PASS,,PASS,2.669692,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
22,speaker,PASS,PASS,,PASS,2.756104,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
23,speaker_timeout,PASS,PASS,,PASS,6.542714,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
24,flip_dot,PASS,PASS,,PASS,1.544529,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
25,flip_dot_timeout,PASS,PASS,,PASS,4.685725,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
26,se,PASS,PASS,,PASS,2.847267,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
27,Can_Data_Send,PASS,PASS,,PASS,2.936188,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
28,Can_Data_Recv,PASS,PASS,,PASS,3.048351,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
29,Charge_Can_Data_Recv,PASS,PASS,,PASS,3.513995,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
30,TST_SM_BUS,PASS,PASS,,PASS,5.804531,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
31,Voltage_CC_CV_EN_5V,4.85,5.15,V,4.980110,1.235392,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
32,rp_charge,PASS,PASS,,PASS,3.67,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
33,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,28.000,5.071146,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
34,TEST_DC75V_Sense,PASS,PASS,,PASS,0,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
35,TEST_Charge_NTC,PASS,PASS,,PASS,0,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
36,Voltage_PP12V0_CHG,11.8,12.5,V,12.150910,0.245557,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
37,contact_input_charge,PASS,PASS,,PASS,3.58,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
38,Voltage_POWER_58V_ON_CH_H,50,65,V,57.267900,0.245959,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
39,sim_read,PASS,PASS,,PASS,11.508033,PASS,PASS,0,B6340D57-40E6-4452-9AC8-B568C095DAA3,FK2324MMBC1AA0006,2023-06-27 13:40:06,2023-06-27 13:43:58,STT234MC01,monolith_main_bft,10023100
