record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.005982,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.25,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,8.76,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
4,FW_Version,2023.15.105,2023.15.105,,2023.15.105,3.900716,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.642098,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.841671,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,4.305861,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,25.000,2.771570,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.627066,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.685460,0.245067,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.76,1.85,V,1.802660,0.246661,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,4.962680,0.235818,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.000771,0.246398,PASS,FAIL,101051,21C9B387-6E5A-4810-8253-3E40F0FB63CF,FK2324MMBC1AA0128,2023-06-28 09:30:34,2023-06-28 09:32:02,STT234MC01,monolith_main_bft,10023100
