record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.017113,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,10.82,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,18.20,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,8.69,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.086780,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.079216,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.082770,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,10,40,C,28.000,3.094180,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.091979,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
11,Voltage_PP4V2_SYS,3.6,3.8,V,3.674600,0.257328,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
12,Voltage_PP1V8_LDO,1.76,1.85,V,1.807510,0.248288,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
13,Voltage_PP5V0,4.85,5.15,V,5.015220,0.248072,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.038731,0.248520,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
15,Voltage_DUT_PP12V0,11.3,12.3,V,11.775761,0.247889,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
16,nor_flash,PASS,PASS,,PASS,6.079262,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
17,lock_status,PASS,PASS,,PASS,5.079209,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
18,TEST_Clowlock_Lock,PASS,PASS,,PASS,0.333363,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
19,unlock_status,PASS,PASS,,PASS,5.067578,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
20,TEST_Clowlock_Unlock,PASS,PASS,,PASS,0.318474,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
21,triangle_nfc,PASS,PASS,,PASS,4.086211,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
22,ui_nfc,PASS,PASS,,PASS,4.097695,PASS,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
23,speaker,PASS,PASS,,FAIL,4.341645,FAIL,FAIL,101051,566FDDD2-40F0-4828-9BA6-CF9895C62B1D,FK2316MMBP2AA0279,2023-05-05 16:14:39,2023-05-05 16:16:51,STT234MM01,monolith_main_bft,10023100
