record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.018045,PASS,PASS,0,B1B545E7-EBB5-46B7-97F0-60E84EC7E615,FK2316MMBP2AA0376,2023-05-06 08:33:56,2023-05-06 08:38:31,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,1.49,PASS,PASS,0,B1B545E7-EBB5-46B7-97F0-60E84EC7E615,FK2316MMBP2AA0376,2023-05-06 08:33:56,2023-05-06 08:38:31,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,10.85,PASS,PASS,0,B1B545E7-EBB5-46B7-97F0-60E84EC7E615,FK2316MMBP2AA0376,2023-05-06 08:33:56,2023-05-06 08:38:31,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,18.07,PASS,PASS,0,B1B545E7-EBB5-46B7-97F0-60E84EC7E615,FK2316MMBP2AA0376,2023-05-06 08:33:56,2023-05-06 08:38:31,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,8.73,PASS,PASS,0,B1B545E7-EBB5-46B7-97F0-60E84EC7E615,FK2316MMBP2AA0376,2023-05-06 08:33:56,2023-05-06 08:38:31,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.087284,PASS,PASS,0,B1B545E7-EBB5-46B7-97F0-60E84EC7E615,FK2316MMBP2AA0376,2023-05-06 08:33:56,2023-05-06 08:38:31,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.068083,PASS,PASS,0,B1B545E7-EBB5-46B7-97F0-60E84EC7E615,FK2316MMBP2AA0376,2023-05-06 08:33:56,2023-05-06 08:38:31,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.074914,PASS,PASS,0,B1B545E7-EBB5-46B7-97F0-60E84EC7E615,FK2316MMBP2AA0376,2023-05-06 08:33:56,2023-05-06 08:38:31,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,10,40,C,28.000,3.093433,PASS,PASS,0,B1B545E7-EBB5-46B7-97F0-60E84EC7E615,FK2316MMBP2AA0376,2023-05-06 08:33:56,2023-05-06 08:38:31,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.086692,PASS,PASS,0,B1B545E7-EBB5-46B7-97F0-60E84EC7E615,FK2316MMBP2AA0376,2023-05-06 08:33:56,2023-05-06 08:38:31,STT234MM01,monolith_main_bft,10023100
