record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.712,9.161706,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,27.7571,0.0,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.362222,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.100358,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,3.261232,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.097383,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,2.529706,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.101441,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.160283,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.34923,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,4.643525,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.10037,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.92219,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.215276,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.086344,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.212491,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.09035,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.095372,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,240.608282,4.289429,PASS,PASS,0,b921b8e0-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01DE,2023-06-02 16:35:08,2023-06-02 16:38:35,STQ236YM3101,monolith_receiver_ft,10023006
