record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.713,9.130044,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,31.0952,0.0,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.249277,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.09536,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,0.924296,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.096375,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.801067,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.095685,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.96468,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.08394,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.521854,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.093374,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.18144,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.222267,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,20,1.14137,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.09532,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.142575,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.092384,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,226.758625,4.285865,PASS,PASS,0,b91adcdc-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01B5,2023-06-03 09:54:39,2023-06-03 09:57:47,STQ236YM3101,monolith_receiver_ft,10023006
