record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.723,9.125618,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.7002,0.0,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.252294,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.084325,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.680947,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.099367,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.681161,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.09436,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.790156,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.088383,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,4.513718,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.090617,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.808629,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.213251,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.141294,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.093321,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.191266,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.090377,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,292.817509,4.286632,PASS,PASS,0,b97a7d18-0717-11ee-be4d-acde48001122,FK2322MRCM2AA018C,2023-06-03 14:36:30,2023-06-03 14:39:43,STQ236YM3101,monolith_receiver_ft,10023006
