record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.746,9.145297,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.3444,0.0,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.351213,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.090363,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.213256,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.092367,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.530934,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.092438,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.042626,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.089226,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.665718,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.099372,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.649468,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.216288,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,22,1.198263,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.091398,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.193267,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.097358,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,310.453082,4.33399,PASS,PASS,0,b9108660-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0124,2023-06-05 16:01:49,2023-06-05 16:05:03,STQ236YM3101,monolith_receiver_ft,10023006
