record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.713,9.179305,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,27.1545,0.0,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.258986,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.104264,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.128311,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.096671,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,2.083939,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.100773,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.831259,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.10066,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.892441,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.113091,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.693722,PASS,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,FAIL,21.09183,FAIL,FAIL,230032,b97cf138-0717-11ee-be4d-acde48001122,FK2322MRCM2AA008B,2023-06-07 08:26:17,2023-06-07 08:29:13,STQ236YM3101,monolith_receiver_ft,10023006
