record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.708,9.174409,PASS,FAIL,230021,b848f276-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0079,2023-06-07 09:20:54,2023-06-07 09:22:23,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,30.1275,0.0,PASS,FAIL,230021,b848f276-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0079,2023-06-07 09:20:54,2023-06-07 09:22:23,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.251674,PASS,FAIL,230021,b848f276-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0079,2023-06-07 09:20:54,2023-06-07 09:22:23,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.100361,PASS,FAIL,230021,b848f276-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0079,2023-06-07 09:20:54,2023-06-07 09:22:23,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.475806,PASS,FAIL,230021,b848f276-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0079,2023-06-07 09:20:54,2023-06-07 09:22:23,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.096181,PASS,FAIL,230021,b848f276-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0079,2023-06-07 09:20:54,2023-06-07 09:22:23,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.139872,PASS,FAIL,230021,b848f276-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0079,2023-06-07 09:20:54,2023-06-07 09:22:23,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.102442,PASS,FAIL,230021,b848f276-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0079,2023-06-07 09:20:54,2023-06-07 09:22:23,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.973633,PASS,FAIL,230021,b848f276-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0079,2023-06-07 09:20:54,2023-06-07 09:22:23,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.102249,PASS,FAIL,230021,b848f276-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0079,2023-06-07 09:20:54,2023-06-07 09:22:23,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,FAIL,6.43002,FAIL,FAIL,230021,b848f276-0717-11ee-be4d-acde48001122,FK2322MRCM2AA0079,2023-06-07 09:20:54,2023-06-07 09:22:23,STQ236YM3101,monolith_receiver_ft,10023006
