record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.708,9.205868,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.5431,0.0,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.269313,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.108866,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,0.811672,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.103633,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.195771,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.119127,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.271577,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.102905,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.281235,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.109083,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.864692,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.746311,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,19,1.19743,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.106042,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.157553,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.109217,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,106,350,uA,279.414000,4.284716,PASS,PASS,0,b81d8aaa-0717-11ee-be4d-acde48001122,FK2322MRCM2AA002A,2023-06-07 15:09:54,2023-06-07 15:12:59,STQ236YM3101,monolith_receiver_ft,10023006
