record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.013045,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.216257,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.897519,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.919475,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.089363,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.550,0.000000,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.101382,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,23.000,1.132338,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.000000,0.695317,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000675,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.001209,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-21.227991,3.063777,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.060992,PASS,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-44,4,dBm,-47.903439,3.036011,FAIL,FAIL,201044,90390628-97F4-42A0-B7E9-0060D4147BA5,FK2323MCAM2AA005C,2023-06-12 14:41:49,2023-06-12 14:44:00,STQ236YM4103,monolith_cassette_ft,10023023
