record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.015007,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.222285,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.897506,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.925457,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.089375,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.577,0.0,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091820.0,0.0,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.089365,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,27.000,1.127357,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,92.000000,0.70062,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000321,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.001335,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-18.349270,3.069351,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.062588,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-24.499477,3.058318,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.053437,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-27.090076,3.059367,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.065334,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,3.00065,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.882497,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.100941,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.094365,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.088382,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
24,Set_modem_on,PASS,PASS,,PASS,1.082376,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
25,Check_network_connected,PASS,PASS,,PASS,1.083381,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
26,IMEI,1.00E+14,1.00E+15,,869965065817540,0.886472,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
27,ICCID,1.00E+19,1.00E+20,,89430301722235532775,0.882484,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
28,opmode_clear_forced_state,PASS,PASS,,PASS,1.08437,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
29,Enter_Shipmode,PASS,PASS,,PASS,1.07937,PASS,PASS,0,78041F80-8F14-4064-90E0-3B268AA64ACE,FK2323MCAM2AA00CA,2023-06-14 18:34:18,2023-06-14 18:37:48,STQ236YM4103,monolith_cassette_ft,10023023
