record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.006009,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.211309,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.912474,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,2.023829,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.087365,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.554,0.000000,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.083363,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,26.000,1.115348,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,92.100000,0.694726,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999938,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000253,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-23.825855,3.067713,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.065307,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-37.711491,3.068826,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.060461,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-26.194592,3.035395,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.057695,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,2.999723,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.884494,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.100974,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
22,Triangle_NFC_Run_Test,PASS,PASS,,PASS,1.086365,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
23,NFC_Detect_Measurement,PASS,PASS,,PASS,1.089382,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
24,Set_modem_on,PASS,PASS,,PASS,1.086400,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
25,Check_network_connected,PASS,PASS,,PASS,1.093354,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
26,IMEI,1.00E+14,1.00E+15,,869965065815262,0.883509,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
27,ICCID,1.00E+19,1.00E+20,,89430301722230455485,0.878498,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
28,opmode_clear_forced_state,PASS,PASS,,PASS,1.079382,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
29,Enter_Shipmode,PASS,PASS,,PASS,1.081428,PASS,PASS,0,50D82AC4-6637-4CD7-8F54-37F4CF1F2E83,FK2323MCAM2AA017B,2023-06-16 13:12:19,2023-06-16 13:15:48,STQ236YM4103,monolith_cassette_ft,10023023
