record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.006005,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.220293,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.897476,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.950457,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.104369,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.554,0.000000,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.114373,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,29.000,1.140347,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,90.300000,0.693605,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000138,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000333,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-21.246792,3.062411,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.066543,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-25.498138,3.035761,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.067442,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-25.544186,3.066544,PASS,PASS,0,0DCC9EF9-3D96-41E5-A787-049593221CA9,FK2323MCAM2AA01FD,2023-06-17 14:13:53,2023-06-17 14:17:19,STQ236YM4103,monolith_cassette_ft,10023023
