record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.006992,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.225266,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.905498,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.939448,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.094374,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,2.746,0.000000,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.092362,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,25.000,1.126351,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.600000,0.693470,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000262,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,2.999645,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-19.361908,3.070742,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
14,LTE_19199_Frequency,1.9095,1.9105,GHz,1.910000,3.064164,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
15,LTE_23010_Power,-48,-22,dBm,-44.507069,3.030579,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
16,LTE_23010_Frequency,0.6985,0.6995,GHz,0.699100,3.060609,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
17,LTE_23179_Power,-32,-12,dBm,-26.025513,3.057992,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
18,LTE_23179_Frequency,0.7155,0.7165,GHz,0.716000,3.059726,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
19,factory_mode_off,PASS,PASS,,PASS,3.000774,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
20,modem_enable_status,PASS,PASS,,PASS,0.894472,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
21,NFC_IN_Status,PASS,PASS,,PASS,0.111379,PASS,PASS,0,9909C913-BB78-40EA-BE04-E0E2D09CFE21,FK2323MCAM2AA004F,2023-06-19 18:39:43,2023-06-19 18:43:10,RTQ236YM4201,monolith_cassette_ft,10023023
