record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.002979,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.225298,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.894533,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.931467,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.093362,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.578,0.000000,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.110342,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,24.000,1.124356,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,94.100000,0.699375,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,2.999930,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000438,PASS,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
13,LTE_19199_Power,-30,-6,dBm,-57.020493,3.064277,FAIL,FAIL,201034,0BEEBB5E-CA5D-4EEE-B828-056D772C0E6E,FK2323MCAM2AA005E,2023-06-21 12:53:29,2023-06-21 12:55:05,RTQ236YM4201,monolith_cassette_ft,10023023
