record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.005988,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.221321,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,1.877952,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
4,HW_Version,Solar,Solar,,Solar,0.914474,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
5,BQ_charger_ON,PASS,PASS,,PASS,1.088363,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
6,TST_Battery2_V,2,4.2,V,3.584,0.000000,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
7,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
8,charge_status,1,1,,1,1.111360,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
9,temp_by_mcu_sensor_Vbatt_and_RP12V,10,35,C,25.000,1.134335,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
10,Speaker_Measurement,0,100,dB,91.500000,0.694535,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
11,modem_disable_status,PASS,PASS,,PASS,3.000143,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
12,factory_mode_on,PASS,PASS,,PASS,3.000017,PASS,PASS,0,65B19BF4-38D4-4F89-B2D1-536D0BF9112C,FK2323MCAM2AA0032,2023-06-21 18:40:39,2023-06-21 18:44:07,RTQ236YM4201,monolith_cassette_ft,10023023
