record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.753,9.215233,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.427,0.000000,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.312229,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.097431,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.609042,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.552041,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.713769,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.096198,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.035913,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.096396,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.451915,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.090810,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.369228,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.228375,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,28,1.149494,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.220346,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.146131,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.092551,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,231.490462,4.287007,PASS,PASS,0,713780A3-62D5-4060-B0C6-32A241176D6E,FK2322MRCM2AA01A6,2023-06-23 17:30:27,2023-06-23 17:33:52,RTQ236YM3301,monolith_receiver_ft,10023006
