record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.701,12.524979,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,29.2132,0.000000,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.638497,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.109309,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.994257,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.108322,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.057066,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.106111,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.217765,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.090977,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.804411,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.092580,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.569113,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.237240,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.195274,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.215280,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.141664,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.088628,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,303.947348,4.349797,PASS,PASS,0,0093322F-D989-41CA-B750-1B84CF601720,FK2322MRCM2AA00C1,2023-06-26 14:52:53,2023-06-26 14:56:08,RTQ236YM3401,monolith_receiver_ft,10023006
