record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.748,9.247209,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.8251,0.000000,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.262274,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.093374,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.225880,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.099278,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.224064,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.098814,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.380431,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.099670,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.014022,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.095547,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.477010,PASS,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,FAIL,21.087532,FAIL,FAIL,230032,AA9EE9D9-0D36-4AF8-82BB-BA0F3BC2D13A,FK2322MRCM2AA00B9,2023-06-26 16:01:17,2023-06-26 16:04:08,RTQ236YM3401,monolith_receiver_ft,10023006
