record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.742,9.278106,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.5378,0.000000,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.307436,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.098487,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.205754,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.098086,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.121510,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.102351,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.818142,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.100781,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.330806,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.100259,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.815066,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.228792,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.201143,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.104856,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.148563,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.104755,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,256.538000,4.284360,PASS,PASS,0,ECC18831-A200-49E3-AE0A-2E4676E522A5,FK2322MRCM2AA00BF,2023-06-26 17:17:19,2023-06-26 17:20:23,RTQ236YM3401,monolith_receiver_ft,10023006
