record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.716,9.256006,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.2115,0.000000,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.257228,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.107395,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.792664,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.109805,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.489707,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.105176,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.041727,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.103223,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.577198,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.104850,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,2.692328,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.222055,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.154648,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.153246,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,25,1.098840,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.105330,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,271.636117,4.286220,PASS,PASS,0,7880EED9-C16B-4E8F-BC91-E64F53582282,FK2322MRCM2AA01DA,2023-06-26 19:33:15,2023-06-26 19:36:21,RTQ236YM3401,monolith_receiver_ft,10023006
