record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.215354,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.957926,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.877491,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.918477,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.910491,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.914469,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.079371,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.129303,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.570,0.000000,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.001004,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.088430,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.087381,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.124359,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.570,0.000000,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,091966.0,0.000000,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.087380,PASS,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,FAILED,40.848746,FAIL,FAIL,902078,2D27AF1A-103C-4992-BB53-4E1FD39F4C3E,FK2326MFAT2AA003A,2023-06-26 19:36:57,2023-06-26 19:38:47,STA236YM5301,monolith_bollard_ft,10023020
