record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.687,9.877852,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,29.7543,0.000000,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.259642,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.094401,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.068213,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.096096,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.347199,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.105362,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.907032,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.118630,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.450295,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.109643,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.553991,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.229290,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,28,1.103270,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.107874,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.168394,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.121764,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,238.349763,4.333613,PASS,PASS,0,B7CCF443-1385-446B-88F2-38313F38CD33,FK2322MRCM2AA018B,2023-06-26 19:52:05,2023-06-26 19:55:14,RTQ236YM3401,monolith_receiver_ft,10023006
