record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.713,9.231783,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.6094,0.000000,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.310292,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.100230,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.040246,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.096136,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.939873,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.095416,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.289766,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.100118,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.827227,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.106946,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.761030,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.244767,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.205249,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.106602,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.107310,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.105290,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,286.455433,4.335302,PASS,PASS,0,FD5D5D47-9685-41D0-9027-DDA05A8E7ACE,FK2322MRCM2AA00DB,2023-06-26 21:08:34,2023-06-26 21:11:37,RTQ236YM3401,monolith_receiver_ft,10023006
