record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.199068,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.068307,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.870666,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.904323,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.921642,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.898638,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.070978,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.107699,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.591,0.000000,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091820.0,0.000000,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.074400,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.065888,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.110799,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.489,0.000000,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,000666.0,0.000000,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.071945,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.105926,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
18,TEST_Solar_L_Voltage,7,8,V,7.405,0.000000,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
19,TEST_Solar_L_Current,0,85000,uA,00.000,0.000000,PASS,PASS,0,48D70822-0907-4967-8C1C-E3C925899EA4,FK2327MFAT2AA000F,2023-07-03 10:15:55,2023-07-03 10:19:00,STA237YM5101,monolith_bollard_ft,10023020
