record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.691,9.257988,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,29.443,0.000000,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.260231,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.094160,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,3.474986,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.101903,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.796835,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.098812,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.041855,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.092113,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.111999,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.093042,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.714066,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.220332,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.148774,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.102461,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.096374,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.103347,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,268.657011,4.289575,PASS,PASS,0,429D79B2-BA5E-49B6-820D-71997969615B,FK2322MRCM2AA00E6,2023-07-03 10:32:17,2023-07-03 10:35:22,RTQ237YM3101,monolith_receiver_ft,10023006
