record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.749,9.679394,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,31.2477,0.000000,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.266900,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.116890,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.130222,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.102509,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.751565,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.114028,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.736771,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.105886,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.652982,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.103360,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.710190,PASS,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,FAIL,21.106220,FAIL,FAIL,230032,2E51BB20-406F-42CD-BEDF-C0D3DF53A4C8,FK2322MRCM2AA012D,2023-07-03 13:20:04,2023-07-03 13:22:54,RTQ237YM3101,monolith_receiver_ft,10023006
