record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.245844,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.093762,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.898581,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.935016,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.926679,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.937972,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.086082,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.128720,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.555,0.000000,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091380.0,0.000000,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.098456,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.085486,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.109632,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.471,0.000000,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,-00433.0,0.000000,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.086764,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.136584,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
18,TEST_Solar_L_Voltage,1,8,V,3.732,0.000000,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
19,TEST_Solar_L_Current,0,85000,uA,00.000,0.000000,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
20,TST_Solar_R,PASS,PASS,,PASS,1.118941,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
21,TEST_Solar_R_Voltage,1,8,V,3.727,0.000000,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
22,TEST_Solar_R_Current,0,85000,uA,00.000,0.000000,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
23,BQ_charger_ON,PASS,PASS,,PASS,1.091572,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
24,TST_Battery2,PASS,PASS,,PASS,1.112822,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
25,TST_Battery2_V,2,4.2,V,3.572,0.000000,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
26,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
27,Status_1,1,1,,1,1.085588,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
28,Temp_with_rp_charge,5,35,C,28.000,1.118603,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
29,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.075480,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
30,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.136944,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
31,Triangle_NFC_Insert,PASS,PASS,,PASS,5.684893,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
32,ClawLock_lock_cmd_send,PASS,PASS,,PASS,1.106220,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
33,ClawLock_Is_lock,PASS,PASS,,PASS,1.126575,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
34,Human_Check_ClawLOCK_Lock,PASS,PASS,,PASS,4.700473,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
35,TEST_nfc_rideable_run,PASS,PASS,,PASS,1.087731,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
36,TEST_Triangle_NFC,PASS,PASS,,PASS,1.099624,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
37,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.071626,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
38,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.139943,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
39,Triangle_NFC_Pull_Out,PASS,PASS,,PASS,5.288674,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
40,Human_Check_Sound_On,PASS,PASS,,PASS,1.612658,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
41,Human_Check_Sound_Off,PASS,PASS,,PASS,2.041930,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
42,Human_Check_FlipDot_On,PASS,PASS,,PASS,1.517608,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
43,Human_Check_FlipDot_Off,PASS,PASS,,PASS,1.218444,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
44,TEST_bike_key_nfc_user_run,PASS,PASS,,PASS,1.098940,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
45,TEST_bike_key_total_detect,PASS,PASS,,PASS,1.212461,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
46,TEST_transit_card_nfc_user_run,PASS,PASS,,PASS,1.106251,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
47,TEST_transit_card_total_detect,PASS,PASS,,PASS,1.097194,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
48,TEST_set_modem_on,PASS,PASS,,PASS,1.081153,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
49,TEST_modem_connected,PASS,PASS,,PASS,1.084417,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
50,TEST_network_connected,PASS,PASS,,PASS,1.090275,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
51,ICCID,1.00E+19,1.00E+20,,89430301722235532429,0.886725,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
52,IMEI,1.00E+14,1.00E+15,,869965065810438,0.873273,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
53,opmode_clear_forced_state,PASS,PASS,,PASS,1.073868,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
54,ship_mode,PASS,PASS,,PASS,1.080977,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
55,FlipDot_Red_On,PASS,PASS,,PASS,4.939142,PASS,PASS,0,47B77DED-A9EA-4C82-A444-2C3CD5F0A09D,FK2327MFAT2AA010D,2023-07-03 14:31:11,2023-07-03 14:34:11,STA237YM5102,monolith_bollard_ft,10023020
