record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.239838,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.094231,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.884360,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.918763,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.930688,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,1.764256,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.081243,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.133281,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.602,0.000000,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.086292,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.100999,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.124733,PASS,PASS,0,F1E078BB-0611-4E3F-9D1B-BACB3276F113,FK2327MFAT2AA010C,2023-07-03 14:35:41,2023-07-03 14:38:33,STA237YM5102,monolith_bollard_ft,10023020
