record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.743,9.299725,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,29.7468,0.000000,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.291196,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.094060,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,3.270110,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.107769,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.963151,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.096915,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.277552,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.092099,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.228247,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.454894,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.820324,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.227215,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.195326,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.092826,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.144254,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.095204,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,266.842505,4.289098,PASS,PASS,0,DE3AB7B1-7DAA-4EEA-84B0-35F7D6D8F526,FK2322MRCM2AA00EE,2023-07-03 14:57:15,2023-07-03 15:00:22,RTQ237YM3101,monolith_receiver_ft,10023006
