record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.717,9.261393,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.0811,0.001000,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.256240,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.106997,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,4.718212,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.123343,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.384323,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.115997,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.615642,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.104334,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.804644,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.102519,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.674458,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.222562,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.219532,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.099227,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.157118,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.103398,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,260.935117,4.337278,PASS,PASS,0,A771B3D5-765C-484F-924B-F8864989DAA1,FK2322MRCM2AA00FE,2023-07-03 16:18:21,2023-07-03 16:21:26,RTQ237YM3101,monolith_receiver_ft,10023006
