record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.731,9.244144,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.8562,0.000000,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.261392,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.106998,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.586000,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.099406,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.258115,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.103773,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.219878,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.106061,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.805989,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.105290,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,6.411719,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.231430,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,28,1.096116,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.105521,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.145638,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.105492,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,292.245447,4.331185,PASS,PASS,0,2A463E17-ED66-4985-A3C6-C22607D72F61,FK2322MRCM2AA00AC,2023-07-03 16:30:12,2023-07-03 16:33:20,RTQ237YM3101,monolith_receiver_ft,10023006
