record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.209973,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.083668,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.888961,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.917112,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.930605,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.912030,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.082497,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.116206,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.591,0.000000,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091673.0,0.000000,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.076504,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.080652,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.130858,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.479,0.000000,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,-00286.0,0.000000,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.083730,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.126232,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
18,TEST_Solar_L_Voltage,1,8,V,4.056,0.000000,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
19,TEST_Solar_L_Current,0,85000,uA,00.000,0.000000,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
20,TST_Solar_R,PASS,PASS,,PASS,1.134737,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
21,TEST_Solar_R_Voltage,1,8,V,4.070,0.000000,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
22,TEST_Solar_R_Current,0,85000,uA,00.000,0.000000,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
23,BQ_charger_ON,PASS,PASS,,PASS,1.084964,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
24,TST_Battery2,PASS,PASS,,PASS,1.117182,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
25,TST_Battery2_V,2,4.2,V,3.602,0.000000,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
26,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
27,Status_1,1,1,,1,1.088575,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
28,Temp_with_rp_charge,5,35,C,27.000,1.113712,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
29,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.079240,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
30,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.138826,PASS,PASS,0,01663461-B09A-48AF-8AFE-8E8DC235D9E0,FK2327MFAT2AA00EF,2023-07-03 17:45:32,2023-07-03 17:48:23,STA237YM5102,monolith_bollard_ft,10023020
