record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.210337,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.081723,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.878026,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.928865,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.915743,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.916886,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.082157,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.276017,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.606,0.000000,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.081435,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.087660,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.119627,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.494,0.000000,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,-00506.0,0.000000,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.078780,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.120286,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
18,TEST_Solar_L_Voltage,1,8,V,4.240,0.000000,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
19,TEST_Solar_L_Current,0,85000,uA,00.000,0.000000,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
20,TST_Solar_R,PASS,PASS,,PASS,1.128139,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
21,TEST_Solar_R_Voltage,1,8,V,4.245,0.000000,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
22,TEST_Solar_R_Current,0,85000,uA,00.000,0.000000,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
23,BQ_charger_ON,PASS,PASS,,PASS,1.087585,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
24,TST_Battery2,PASS,PASS,,PASS,1.118627,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
25,TST_Battery2_V,2,4.2,V,3.613,0.000000,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
26,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
27,Status_1,1,1,,1,1.098987,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
28,Temp_with_rp_charge,5,35,C,27.000,1.119308,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
29,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.095123,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
30,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.154365,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
31,Triangle_NFC_Insert,PASS,PASS,,PASS,8.220584,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
32,ClawLock_lock_cmd_send,PASS,PASS,,PASS,1.092810,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
33,ClawLock_Is_lock,PASS,PASS,,PASS,1.162367,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
34,Human_Check_ClawLOCK_Lock,PASS,PASS,,PASS,1.007875,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
35,TEST_nfc_rideable_run,PASS,PASS,,PASS,1.097227,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
36,TEST_Triangle_NFC,PASS,PASS,,PASS,1.098407,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
37,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.104280,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
38,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.141749,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
39,Triangle_NFC_Pull_Out,PASS,PASS,,PASS,5.260740,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
40,Human_Check_Sound_On,PASS,PASS,,PASS,1.305456,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
41,Human_Check_Sound_Off,PASS,PASS,,PASS,1.561163,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
42,Human_Check_FlipDot_On,PASS,PASS,,PASS,1.356790,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
43,Human_Check_FlipDot_Off,PASS,PASS,,PASS,1.470556,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
44,TEST_bike_key_nfc_user_run,PASS,PASS,,PASS,1.116249,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
45,TEST_bike_key_total_detect,PASS,PASS,,PASS,1.112648,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
46,TEST_transit_card_nfc_user_run,PASS,PASS,,PASS,1.102376,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
47,TEST_transit_card_total_detect,PASS,PASS,,PASS,1.110263,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
48,TEST_set_modem_on,PASS,PASS,,PASS,1.090085,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
49,TEST_modem_connected,PASS,PASS,,PASS,1.107792,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
50,TEST_network_connected,PASS,PASS,,PASS,1.096186,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
51,ICCID,1.00E+19,1.00E+20,,89430301722235533500,0.900399,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
52,IMEI,1.00E+14,1.00E+15,,869965065816500,0.903251,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
53,opmode_clear_forced_state,PASS,PASS,,PASS,1.101746,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
54,ship_mode,PASS,PASS,,PASS,1.102773,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
55,FlipDot_Red_On,PASS,PASS,,PASS,2.251864,PASS,PASS,0,C7DDF3F8-6BCB-453B-9406-5B2CF278C74B,FK2327MFAT2AA00EB,2023-07-03 17:59:35,2023-07-03 18:02:27,STA237YM5102,monolith_bollard_ft,10023020
