record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.719,9.265503,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.3518,0.000000,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.305018,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.115047,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,0.863725,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.104659,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.857881,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.111514,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.485566,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.103249,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.441340,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.104731,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.779932,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.232159,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,26,1.151807,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.107510,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.116071,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.109023,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,246.368982,4.334705,PASS,PASS,0,CDA82943-ABDB-4CB8-A0E6-DBFA85708B13,FK2322MRCM2AA00D5,2023-07-03 18:17:51,2023-07-03 18:20:53,RTQ237YM3101,monolith_receiver_ft,10023006
