record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.734,9.291418,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,31.1429,0.000000,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.254151,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.104414,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.091481,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.107114,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.919296,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.105896,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.515651,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.109504,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.530818,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.104833,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.003470,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.262613,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,26,1.150125,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.097357,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.155424,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.116399,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,277.584641,4.285509,PASS,PASS,0,2289B121-32C8-4D9D-9C4B-DCEF870FD977,FK2322MRCM2AA00CD,2023-07-03 18:25:46,2023-07-03 18:28:56,RTQ237YM3101,monolith_receiver_ft,10023006
