record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.746,9.286852,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,31.4554,0.000000,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.325764,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.123272,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,4.153870,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.110685,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.935166,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.217745,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.423102,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.113277,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.645533,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.102436,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.136326,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.229860,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.156331,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.118413,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.158973,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.115959,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,302.471259,4.287478,PASS,PASS,0,A72EBB56-5F76-4D3F-B578-705416514C17,FK2322MRCM2AA011F,2023-07-03 18:48:35,2023-07-03 18:51:40,RTQ237YM3101,monolith_receiver_ft,10023006
