record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.717,9.277120,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,29.6263,0.000000,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.278397,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.114480,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.152867,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.108436,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.710412,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.098121,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.596241,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.101520,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.318971,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.115087,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.161770,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.240963,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.163860,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.167625,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.151956,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.113078,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,248.006956,4.285129,PASS,PASS,0,CB6A2A60-6ACC-4763-9AC7-6737DC8F94AF,FK2322MRCM2AA00DC,2023-07-03 19:58:04,2023-07-03 20:01:06,RTQ237YM3101,monolith_receiver_ft,10023006
