record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.716,9.279586,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,29.6242,0.000000,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.256317,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.101761,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,3.899331,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.102922,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.692085,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.102571,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.125209,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.112918,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,1.001371,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.101979,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.997114,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.226868,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.202967,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.098374,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.155510,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.099815,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,231.966247,4.287915,PASS,PASS,0,2D8A2A77-0B81-4D18-AE9F-809EE5E92106,FK2322MRCM2AA01EF,2023-07-04 08:30:52,2023-07-04 08:33:56,RTQ237YM3101,monolith_receiver_ft,10023006
