record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.713,9.261463,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.2715,0.000000,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.255191,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.101379,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,11.954955,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.229688,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.008193,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.099289,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.111253,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.097454,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,2.093220,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.099072,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,1.995542,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.231717,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,28,1.098588,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.091666,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.151023,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.097281,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,295.795398,4.333656,PASS,PASS,0,FFFF1303-09FF-4771-A09C-8C01BC5172DB,FK2322MRCM2AA01FA,2023-07-04 08:53:53,2023-07-04 08:57:10,RTQ237YM3101,monolith_receiver_ft,10023006
