record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.717,9.294786,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.9639,0.000000,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.297900,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.104510,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,0.839192,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.105008,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,1.332879,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.100883,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,1.169054,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.097988,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.667932,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.102824,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.623563,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.235690,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,28,1.151263,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.101303,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,26,1.151864,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.102588,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,265.125309,4.288350,PASS,PASS,0,08537EF8-F883-43E9-B0B6-F229DBDAEA95,FK2322MRCM2AA002D,2023-07-04 08:57:49,2023-07-04 09:00:50,RTQ237YM3101,monolith_receiver_ft,10023006
