record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13,14,MHz,13.713,9.260173,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,15,40,,30.8157,0.000000,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.257654,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.103668,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,1.179274,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.116418,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.839694,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.108746,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,2.034057,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.102578,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,0.732095,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.100581,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,0.750368,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,PASS,1.236699,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
15,Bike_Key_NFC_Test_Measurement,1,300,,29,1.158488,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
16,Transit_Card_NFC_Test_Start,PASS,PASS,,PASS,1.097602,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
17,Transit_Card_NFC_Test_Measurement,1,300,,27,1.199809,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
18,Enter_LPCD_Mode,PASS,PASS,,PASS,1.106325,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
19,LPCD_Mode_UI_NFC_Current,4,350,uA,190.211909,4.288314,PASS,PASS,0,6CF5B3AF-9296-48A0-AFC3-CF51759CFA65,FK2322MRCM2AA01EC,2023-07-04 10:06:12,2023-07-04 10:09:16,RTQ237YM3101,monolith_receiver_ft,10023006
